WilsonReederName;English Name;SpecimenID;Wikipedia Name;Hominoidea;Clade;CerebellarVol;Surface Area;CerebralVol;AbsGI;Folding Length;Folding number;Lambda;Delta;CrusVol_obs1;CrusVol_obs2;CrusVol_obs3;CrusVol_1_3;Body mass species mean;CerebroCerebellar;CerebellarCrus;CerebellarMass;CerebralMass;CrusMass;CerebroCerebellarMass;CerebellarCrusMass
Macaca_mulatta;Rhesus monkey;MacacaMulatta_32203;Rhesus_macaque;Nonape;Papionini;4,01112616998976;4,39196242347810;4,87025128828068;2,888312;3,27598879231591;1,819543935541869;13,2848;6,418520;NA;NA;NA;NA;3,83206161459073;0,1383167837119889;NA;1,510304635654350;10,91917116001767;NA;0,1383167837119889;NA
Macaca_mulatta;Rhesus monkey;MacacaMulatta_mm01;Rhesus_macaque;Nonape;Papionini;3,95360260857914;4,41417736949071;4,89704259955892;2,917415;3,31544126159266;1,832508912706236;12,6554;6,224960;NA;NA;NA;NA;3,83206161459073;0,1139095166473897;NA;1,322942577506256;11,61397762402473;NA;0,1139095166473897;NA
Pan_troglodytes_troglodytes;Central chimpanzee;Chimp_Abby_Yerkes;Chimpanzee;Ape;Hominoidea;4,75929003302430;4,87768537041270;5,49963734549337;3,363383;3,71979412764175;2,322219294733919;12,4130;8,177870;NA;NA;4,24047436346788;4,24047436346788;4,72222246396973;0,1818246195519621;0,302819843342037;1,089099526066351;5,98983530805687;0,3298009478672986;0,1818246195519622;0,302819843342037
Pan_troglodytes_troglodytes;Central chimpanzee;Chimp_Amanda_Yerkes;Chimpanzee;Ape;Hominoidea;4,70138663140850;4,85945579284038;5,48495385875766;3,298646;3,69910086673018;2,278753600952829;12,9958;7,968290;NA;NA;4,24239233137574;4,24239233137574;4,72222246396973;0,1646011149525411;0,347540722766960;0,953156398104265;5,79070438483412;0,3312606635071090;0,1646011149525411;0,347540722766960
Pan_troglodytes_troglodytes;Central chimpanzee;Chimp_Artemus_Yerkes;Chimpanzee;Ape;Hominoidea;4,68029017759513;4,82982777670683;5,41645579406867;3,422734;3,66387697595400;2,281033367247728;12,6145;8,346580;NA;NA;4,15354048643802;4,15354048643802;4,72222246396973;0,1835838120276920;0,297337926714688;0,907962085308057;4,94576332890995;0,2699715639810427;0,1835838120276920;0,297337926714688
Pan_troglodytes_troglodytes;Central chimpanzee;Chimp_Arthur_Yerkes;Chimpanzee;Ape;Hominoidea;4,76775678098121;4,82306382755320;5,44915467903835;3,204866;3,66931293004930;2,264817823009536;12,9881;7,753860;NA;NA;4,25784650159116;4,25784650159116;4,72222246396973;0,2082581959381813;0,309093392055445;1,110540284360189;5,33251658767773;0,3432606635071090;0,2082581959381813;0,309093392055445
Pan_troglodytes_troglodytes;Central chimpanzee;Chimp_Azalea_Yerkes;Chimpanzee;Ape;Hominoidea;4,75623281058240;4,78698254530967;5,37683816227643;3,295639;3,63285013820509;2,257678574869185;12,7993;7,860750;NA;NA;4,19156278759173;4,19156278759173;4,72222246396973;0,2395491577939848;0,272477080302207;1,081459715639810;4,51456279620853;0,2946729857819905;0,2395491577939848;0,272477080302207
Pan_troglodytes_troglodytes;Central chimpanzee;Chimp_Barbara_Yerkes;Chimpanzee;Ape;Hominoidea;4,77126402785158;4,82832953958179;5,45405441087689;3,219653;3,66963521387933;2,227886704613673;13,3086;7,756710;NA;NA;4,18110007972805;4,18110007972805;4,72222246396973;0,2075915238850998;0,256942562991059;1,119545023696682;5,39301895734597;0,2876587677725119;0,2075915238850998;0,256942562991059
Pan_troglodytes_troglodytes;Central chimpanzee;Chimp_Barney_Yerkes;Chimpanzee;Ape;Hominoidea;4,79036258402520;4,88905274366319;5,48009510513527;3,557721;3,72037223806174;2,318063334962762;12,3651;8,563680;4,21919144021798;4,20082314871093;NA;4,21919144021798;4,72222246396973;0,2042995823902473;0,268428643191651;1,169876777251185;5,72628080568720;0,3140284360189574;0,2042995823902473;0,268428643191651
Pan_troglodytes_troglodytes;Central chimpanzee;Chimp_Carl_Yerkes;Chimpanzee;Ape;Hominoidea;4,59838555994924;4,82324670093224;5,43299928788842;3,286722;3,67883497227567;2,296665190261531;12,6396;7,624970;NA;NA;4,15766827273877;4,15766827273877;4,72222246396973;0,1463478248868469;0,362478884602778;0,751905213270142;5,13779561706161;0,2725497630331754;0,1463478248868469;0,362478884602778
