WilsonReederName;English Name;SpecimenID;Wikipedia Name;Hominoidea;Clade;CerebellarVol;SurfaceArea;CerebralVol;AbsGI;FoldingLength;FoldingNumber;Lambda;Delta;CrusVol_obs1;CrusVol_obs2;CrusVol_obs3;CrusVol_1_3;BodyMass;CerebroCerebellar;CerebellarCrus;CerebellarMass;CerebralMass;CrusMass;ROC;ROCCrus;BrainVol;MedianBrainVol;Sex;Age
Macaca_mulatta;Rhesus monkey;MacacaMulatta_32198;Rhesus_macaque;Nonape;Papionini;4,034182077;4,415360165;4,89032315;2,955702;3,310497724;1,949390007;12,6009;6,43053;NA;NA;NA;NA;0,832061615;13,92704335;NA;3,202120463;4,058261535;NA;NA;NA;5,012377388;5,023145417;NA;NA
Macaca_mulatta;Rhesus monkey;MacacaMulatta_32199;Rhesus_macaque;Nonape;Papionini;4,032084629;4,419812332;4,909693647;2,898672;3,302764078;1,832508913;13,2738;6,45635;NA;NA;NA;NA;0,832061615;13,25534337;NA;3,200023014;4,077632032;NA;NA;NA;5,023145417;5,023145417;NA;NA
Macaca_mulatta;Rhesus monkey;MacacaMulatta_32201;Rhesus_macaque;Nonape;Papionini;4,027436202;4,391235436;4,860745154;2,925867;3,28577854;1,812913357;12,7726;6,36214;NA;NA;NA;NA;0,832061615;14,67881674;NA;3,195374588;4,028683539;NA;NA;NA;5,029655634;5,023145417;NA;NA
Macaca_mulatta;Rhesus monkey;MacacaMulatta_32203;Rhesus_macaque;Nonape;Papionini;4,01112617;4,391962423;4,870251288;2,888312;3,275988792;1,819543936;13,2848;6,41852;NA;NA;NA;NA;0,832061615;13,83167837;NA;3,179064555;4,038189674;NA;NA;NA;4,995670288;5,023145417;NA;NA
Macaca_mulatta;Rhesus monkey;MacacaMulatta_mm01;Rhesus_macaque;Nonape;Papionini;3,953602609;4,414177369;4,8970426;2,917415;3,315441262;1,832508913;12,6554;6,22496;NA;NA;NA;NA;0,832061615;11,39095166;NA;3,121540994;4,064980985;NA;NA;NA;5,035161474;5,023145417;NA;NA
Pan_troglodytes_troglodytes;Central chimpanzee;Chimp_Abby_Yerkes;Chimpanzee;Ape;Hominoidea_Chimp;4,759290033;4,87768537;5,499637345;3,363383;3,719794128;2,322219295;12,413;8,17787;NA;NA;4,240474363;4,240474363;1,722222464;18,18246196;30,28198433;3,037067569;3,777414882;2,518251899;4,602635051;43,43494869;5,56619936;5,524033734;F;NA
Pan_troglodytes_troglodytes;Central chimpanzee;Chimp_Amanda_Yerkes;Chimpanzee;Ape;Hominoidea_Chimp;4,701386631;4,859455793;5,484953859;3,298646;3,699100867;2,278753601;12,9958;7,96829;NA;NA;4,242392331;4,242392331;1,722222464;16,4601115;34,75407228;2,979164167;3,762731395;2,520169867;4,515940042;53,26627039;5,547638121;5,524033734;F;NA
Pan_troglodytes_troglodytes;Central chimpanzee;Chimp_Artemus_Yerkes;Chimpanzee;Ape;Hominoidea_Chimp;4,680290178;4,829827777;5,416455794;3,422734;3,663876976;2,281033367;12,6145;8,34658;NA;NA;4,153540486;4,153540486;1,722222464;18,3583812;29,73379267;2,958067714;3,69423333;2,431318022;4,52703669;42,31592084;5,477536531;5,524033734;M;NA
Pan_troglodytes_troglodytes;Central chimpanzee;Chimp_Arthur_Yerkes;Chimpanzee;Ape;Hominoidea_Chimp;4,767756781;4,823063828;5,449154679;3,204866;3,66931293;2,264817823;12,9881;7,75386;NA;NA;4,257846502;4,257846502;1,722222464;20,82581959;30,90933921;3,045534317;3,726932215;2,535624038;4,607176127;44,73736226;5,522540733;5,524033734;M;NA
Pan_troglodytes_troglodytes;Central chimpanzee;Chimp_Azalea_Yerkes;Chimpanzee;Ape;Hominoidea_Chimp;4,756232811;4,786982545;5,376838162;3,295639;3,632850138;2,257678575;12,7993;7,86075;NA;NA;4,191562788;4,191562788;1,722222464;23,95491578;27,24770803;3,034010347;3,654615698;2,469340324;4,61807949;37,45271426;5,460561096;5,524033734;F;NA
Pan_troglodytes_troglodytes;Central chimpanzee;Chimp_Barbara_Yerkes;Chimpanzee;Ape;Hominoidea_Chimp;4,771264028;4,82832954;5,454054411;3,219653;3,669635214;2,227886705;13,3086;7,75671;NA;NA;4,18110008;4,18110008;1,722222464;20,75915239;25,6942563;3,049041564;3,731831947;2,458877616;4,642286413;34,57909849;5,528894857;5,524033734;F;NA
Pan_troglodytes_troglodytes;Central chimpanzee;Chimp_Barney_Yerkes;Chimpanzee;Ape;Hominoidea_Chimp;4,790362584;4,889052744;5,480095105;3,557721;3,720372238;2,318063335;12,3651;8,56368;4,21919144;4,200823149;NA;4,21919144;1,722222464;20,42995824;26,84286432;3,06814012;3,757872641;2,496968976;4,654619277;36,69206574;5,55241876;5,524033734;M;NA
Pan_troglodytes_troglodytes;Central chimpanzee;Chimp_Carl_Yerkes;Chimpanzee;Ape;Hominoidea_Chimp;4,59838556;4,823246701;5,432999288;3,286722;3,678834972;2,29666519;12,6396;7,62497;NA;NA;4,157668273;4,157668273;1,722222464;14,63478249;36,24788846;2,876163096;3,710776824;2,435445809;4,402880134;56,85754963;5,482194468;5,524033734;M;NA
Pan_troglodytes_troglodytes;Central chimpanzee;Chimp_David_Yerkes;Chimpanzee;Ape;Hominoidea_Chimp;4,605197267;4,825974219;5,469714027;3,126181;3,653530154;2,201397124;13,7571;7,99601;4,074450719;NA;NA;4,074450719;1,722222464;13,66102356;29,46140482;2,882974803;3,747491563;2,352228255;4,453624074;41,76636172;5,524033734;5,524033734;M;NA
Homo_sapiens;Human;Human_51058;Human;Ape;Hominoidea_Human;5,096440722;5,298844722;5,985320105;4,208692;4,098447;2,621176282;11,3432;10,1919;4,546036514;4,614949918;NA;4,546036514;1,812913357;12,91577934;28,15761022;3,283527365;4,172406748;2,733123158;4,952821492;39,19358794;6,044213917;6,059724183;F;22,11
Homo_sapiens;Human;Human_51060;Human;Ape;Hominoidea_Human;5,12766513;5,289943323;5,946523219;4,376333;4,063672556;2,558708571;11,5462;11,0642;NA;NA;4,65571455;4,65571455;1,812913357;15,17546165;33,73256915;3,314751774;4,133609862;2,842801193;4,948965264;50,90369237;6,013892584;6,059724183;F;22,72
Homo_sapiens;Human;Human_51061;Human;Ape;Hominoidea_Human;5,130979904;5,270774955;5,926427213;4,318564;4,070017581;2,648360011;10,838;10,4576;NA;NA;4,625230112;4,625230112;1,812913357;16,01594949;31,20686977;3,318066547;4,113513857;2,812316756;4,968524975;45,36335193;5,996856519;6,059724183;F;27,03
Homo_sapiens;Human;Human_51062;Human;Ape;Hominoidea_Human;5,138848776;5,245332266;5,919004832;4,119504;4,03127833;2,511883361;12,1042;10,3181;4,578146195;NA;NA;4,578146195;1,812913357;16,58990673;27,49776645;3,325935419;4,106091475;2,765232838;4,999200162;37,92678528;5,988640101;6,059724183;F;27,76
Homo_sapiens;Human;Human_51063;Human;Ape;Hominoidea_Human;5,147131956;5,341515916;6,018974836;4,409424;4,13241539;2,646403726;11,0688;10,6502;NA;NA;4,620583658;4,620583658;1,812913357;13,43250837;29,74758416;3,334218599;4,20606148;2,807670301;4,993793219;42,34385936;6,075234449;6,059724183;F;29,13
Homo_sapiens;Human;Human_51114;Human;Ape;Hominoidea_Human;5,202521011;5,373480865;6,080194096;4,3205;4,162815391;2,705863712;11,1675;10,6592;NA;NA;4,666405648;4,666405648;1,812913357;13,25338805;29,09944044;3,389607654;4,26728074;2,853492292;5,053170673;41,04261042;6,13688411;6,059724183;M;22,48
Homo_sapiens;Human;Human_51116;Human;Ape;Hominoidea_Human;5,205169164;5,372807845;6,054681554;4,486104;4,158789579;2,660865478;10,9101;10,9138;4,683668302;NA;NA;4,683668302;1,812913357;14,14124381;30,09533192;3,392255807;4,241768197;2,870754945;5,049675342;43,05196311;6,109191322;6,059724183;M;25,34
Homo_sapiens;Human;Human_51118;Human;Ape;Hominoidea_Human;5,221273363;5,284235645;5,964513101;4,201549;4,089080821;2,597695186;11,1025;10,1218;4,728053325;NA;NA;4,728053325;1,812913357;18,06176809;32,12032731;3,408360006;4,151599744;2,915139968;5,053013102;47,31950824;6,041086202;6,059724183;M;29,02
Homo_sapiens;Human;Human_51152;Human;Ape;Hominoidea_Human;5,158416776;5,371813492;6,051580285;4,497203;4,162690135;2,653212514;10,7713;10,7998;4,615244934;NA;4,573289439;4,615244934;1,812913357;12,78899715;28,63044897;3,345503419;4,238666928;2,802331577;5,01192974;40,11577565;6,100696144;6,059724183;M;23,35
Homo_sapiens;Human;Human_51153;Human;Ape;Hominoidea_Human;5,204909138;5,354651268;6,047024589;4,353288;4,13926239;2,656098202;11,3935;10,7238;4,679545994;NA;NA;4,679545994;1,812913357;14,38416146;29,82887374;3,391995782;4,234111232;2,866632637;5,051067585;42,50875727;6,108611698;6,059724183;M;26,17
Pan_paniscus;Pygmy chimpanzee;Bonobo_brian;Bonobo;Ape;Hominoidea;4,684920535;4,782937251;5,385669911;3,221117;3,659640437;2,049218023;11,8912;7,33742;3,821316971;NA;NA;3,821316971;1,592176757;19,91822454;13,68977896;3,092743777;3,793493153;2,229140213;4,620982763;15,86113301;5,544086657;5,544086657;NA;NA
Hylobates_lar;Common gibbon;Gibbon_buddy;Gibbon;Ape;Hominoidea;3,938584296;4,313242209;4,783084627;2,754451;3,252717956;1,785329835;12,1827;5,40406;NA;NA;NA;NA;0,747800091;14,30538889;NA;3,190784205;4,035284536;NA;NA;NA;4,943702215;4,943702215;NA;NA
