WilsonReederName;English Name;SpecimenID;Wikipedia Name;Hominoidea;Clade;CerebellarVol;SurfaceArea;CerebralVol;AbsGI;FoldingLength;FoldingNumber;Lambda;Delta;CrusVol_obs1;CrusVol_obs2;CrusVol_obs3;CrusVol_1_3;BodyMass;CerebroCerebellar;CerebellarCrus;CerebellarMass;CerebralMass;CrusMass;ROC;ROCCrus
Macaca_mulatta;Rhesus monkey;MacacaMulatta_32198;Rhesus_macaque;Nonape;Papionini;10818,8743600;26023,167970;77682,492190;2,955702;2044,079224;89;12,6009;6,4305300;NA;NA;NA;NA;6,793;13,92704334657366;NA;1592,650428382158;11435,66792138967;NA;NA;NA
Macaca_mulatta;Rhesus monkey;MacacaMulatta_32199;Rhesus_macaque;Nonape;Papionini;10766,7500000;26291,316410;81225,734380;2,898672;2008,001709;68;13,2738;6,4563500;NA;NA;NA;NA;6,793;13,25534337384959;NA;1584,977182393641;11957,26989253643;NA;NA;NA
Macaca_mulatta;Rhesus monkey;MacacaMulatta_32201;Rhesus_macaque;Nonape;Papionini;10652,1237300;24617,017580;72568,000000;2,925867;1930,983398;65;12,7726;6,3621400;NA;NA;NA;NA;6,793;14,67881673740492;NA;1568,103007507728;10682,76166642132;NA;NA;NA
Macaca_mulatta;Rhesus monkey;MacacaMulatta_32203;Rhesus_macaque;Nonape;Papionini;10259,4993900;24658,259770;74173,929690;2,888312;1887,942627;66;13,2848;6,4185200;NA;NA;NA;NA;6,793;13,83167837119889;NA;1510,304635654350;10919,17116001767;NA;NA;NA
Macaca_mulatta;Rhesus monkey;MacacaMulatta_mm01;Rhesus_macaque;Nonape;Papionini;8986,7489290;25952,390630;78893,750000;2,917415;2067,479736;68;12,6554;6,2249600;NA;NA;NA;NA;6,793;11,39095166473897;NA;1322,942577506256;11613,97762402473;NA;NA;NA
Pan_troglodytes_troglodytes;Central chimpanzee;Chimp_Abby_Yerkes;Chimpanzee;Ape;Hominoidea;57450,0000000;75454,539060;315963,812500;3,363383;5245,587402;210;12,4130;8,1778700;NA;NA;17397;17397,00;52,750;18,18246195519621;30,2819843342037;1089,099526066351;5989,83530805687;329,8009478672986;40053,000000;43,4349486929818
Pan_troglodytes_troglodytes;Central chimpanzee;Chimp_Amanda_Yerkes;Chimpanzee;Ape;Hominoidea;50279,0000000;72352,875000;305459,656300;3,298646;5001,506836;190;12,9958;7,9682900;NA;NA;17474;17474,00;52,750;16,46011149525411;34,7540722766960;953,156398104265;5790,70438483412;331,2606635071090;32805,000000;53,2662703856119
Pan_troglodytes_troglodytes;Central chimpanzee;Chimp_Artemus_Yerkes;Chimpanzee;Ape;Hominoidea;47895,0000000;67581,492190;260889,015600;3,422734;4611,869141;191;12,6145;8,3465800;NA;NA;14241;14241,00;52,750;18,35838120276920;29,7337926714688;907,962085308057;4945,76332890995;269,9715639810427;33654,000000;42,3159208415047
Pan_troglodytes_troglodytes;Central chimpanzee;Chimp_Arthur_Yerkes;Chimpanzee;Ape;Hominoidea;58581,0000000;66537,093750;281290,250000;3,204866;4669,957520;184;12,9881;7,7538600;NA;NA;18107;18107,00;52,750;20,82581959381813;30,9093392055445;1110,540284360190;5332,51658767773;343,2606635071090;40474,000000;44,7373622572516
Pan_troglodytes_troglodytes;Central chimpanzee;Chimp_Azalea_Yerkes;Chimpanzee;Ape;Hominoidea;57047,0000000;61232,578130;238143,187500;3,295639;4293,882324;181;12,7993;7,8607500;NA;NA;15544;15544,00;52,750;23,95491577939848;27,2477080302207;1081,459715639810;4514,56279620853;294,6729857819905;41503,000000;37,4527142616196
